batch_size,32
masking_ratio,0.15
lm,3
d_model,128
dropout,0.1
num_heads,4
num_layers,3
Epoch,Train Loss,Val Loss
1,0.06982351806280869,0.010518853443072122
2,0.039340558148236296,0.005272741977344541
3,0.03610836210831696,0.009606186656610054
4,0.034014360779630284,0.010459584047031753
5,0.030584493381142313,0.005250365534961662
6,0.026908846215668077,0.00808343236498973
7,0.02875344850103922,0.016332171336912057
8,0.025655551414404596,0.007438359905363005
9,0.024555213084178313,0.004714825307019055
10,0.02129531044474974,0.007880699861904277
