batch_size,256
masking_ratio,0.15
lm,12
d_model,128
dropout,0.1
num_heads,8
num_layers,3
Epoch,Train Loss,Val Loss
1,0.08498324379324913,0.007844414717207352
2,0.028875514146472728,0.0026360179957312844
3,0.023491563807640756,0.00554236975343277
4,0.020631739550403188,0.002336834945405523
5,0.017641761606293067,0.008602866514896354
6,0.01819849658225264,0.0048015359401082
7,0.01613354482022779,0.0013453509600367397
8,0.01589828808126705,0.004035691012783597
9,0.01527300952002406,0.001395716710248962
10,0.014836346238319363,0.0013510545153015603
Numero epoche,10
Tempo tot,386.43333315849304
Tempo per epoca,38.643333315849304
